"","Expectations.time","expect"
"174","2015-11",-0.25186396466658
"175","2015-12",-0.216347490758809
"176","2016-01",-0.165548200549077
"177","2016-02",-0.0960006551099962
"178","2016-03",-0.21273958209644
"179","2016-04",-0.330038171290063
"180","2016-05",-0.170369548081723
"181","2016-06",-0.213869717158116
"182","2016-07",-0.309656512110526
"183","2016-08",-0.271659612658671
"184","2016-09",-0.0992520463377372
"185","2016-10",0.0407882675539751
"186","2016-11",0.128756653804298
"187","2016-12",0.498957063384464
"188","2017-01",0.698773207563761
"189","2017-02",1.15586872537962
"190","2017-03",0.844634721398293
"191","2017-04",1.11162712679127
"192","2017-05",0.66993644987524
"193","2017-06",0.676274260556246
"194","2017-07",0.640946903752381
"195","2017-08",0.713825002392897
"196","2017-09",0.844295704370579
"197","2017-10",0.894184074924319
